Date,Time,I1,I2,I3,V1N,V2N,V3N
06-07-2023,05:00:00,0,0,0,228.4599991,228.4249954,228.5049973
06-07-2023,05:04:00,0,0,0,229.027504,228.9924965,229.0674973
06-07-2023,05:08:00,0,0,0,228.8875008,228.8499985,228.9274979
06-07-2023,05:12:00,0,0,0,228.3274956,228.2849999,228.3650017
06-07-2023,05:16:00,0,0,0,227.6375008,227.5999985,227.6749954
06-07-2023,05:20:00,0,0,0,226.8866679,226.8533376,226.9333343
06-07-2023,05:24:00,0,0,0,225.204998,225.1675034,225.2424965
06-07-2023,05:28:00,0,0,0,226.2474976,226.2075005,226.2824974
06-07-2023,05:32:00,0,0,0,226.4949989,226.4575005,226.5350037
06-07-2023,05:36:00,0,0,0,227.4399948,227.4000015,227.4775047
06-07-2023,05:40:00,0,0,0,226.4674988,226.4300041,226.5074997
06-07-2023,05:44:00,0,0,0,227.2833303,227.243337,227.3233337
06-07-2023,05:48:00,0,0,0,226.5699997,226.5300026,226.6100006
06-07-2023,05:52:00,0,0,0,226.4125023,226.3699951,226.449997
06-07-2023,05:56:00,0,0,0,225.6524963,225.6125031,225.6900024
06-07-2023,06:00:00,0,0,0,226.1100006,226.0700035,226.1449967
06-07-2023,06:04:00,0,0,0,234.4299965,234.3925019,234.470005
06-07-2023,06:08:00,0,0,0,235.4900055,235.4499969,235.5299988
06-07-2023,06:12:00,0,0,0,235.9824982,235.9425049,236.0224991
06-07-2023,06:16:00,0,0,0,235.4375,235.3950005,235.4775009
06-07-2023,06:20:00,0,0,0,235.3649979,235.3225021,235.4025002
06-07-2023,06:24:00,0,0,0,235.5550041,235.5149956,235.5949974
06-07-2023,06:28:00,0,0,0,236.2475014,236.2075005,236.2874985
06-07-2023,06:32:00,0,0,0,236.9400024,236.899999,236.9799957
06-07-2023,06:36:00,0,0,0,236.3549995,236.3149986,236.392498
06-07-2023,06:40:00,0,0,0,235.892498,235.8499985,235.9325028
06-07-2023,06:44:00,0,0,0,236.2799988,236.2374954,236.3174972
06-07-2023,06:48:00,0,0,0,237.1624985,237.1225014,237.2050057
06-07-2023,06:52:00,0,0,0,236.9074974,236.8650017,236.9500008
06-07-2023,06:56:00,0,0,0,236.9850007,236.9399948,237.0300064
06-07-2023,07:00:00,0,0,0,237.0450058,237.0024986,237.0825005
06-07-2023,07:04:00,0,0,0,237.0625,237.0200005,237.0999985
06-07-2023,07:08:00,0,0,0,236.1900024,236.1474991,236.2275009
06-07-2023,07:12:00,0,0,0,236.2350044,236.1924972,236.2724991
06-07-2023,07:16:00,0,0,0,236.2466634,236.2033335,236.2833354
06-07-2023,07:20:00,0,0,0,232.892498,232.8549995,232.9300003
06-07-2023,07:24:00,0,0,0,231.2399979,231.2050018,231.2774964
06-07-2023,07:28:00,0,0,0,231.4533335,231.4133352,231.4933319
06-07-2023,07:32:00,0,0,0,232.2600021,232.2150002,232.2900009
06-07-2023,07:36:00,0,0,0,233.6225014,233.579998,233.6575012
06-07-2023,07:40:00,0,0,0,231.5424995,231.5025025,231.5774956
06-07-2023,07:44:00,0,0,0,229.9049988,229.8675041,229.9399986
06-07-2023,07:48:00,0,0,0,229.1899986,229.1525002,229.2299995
06-07-2023,07:52:00,0,0,0,230.1633351,230.1233317,230.200002
06-07-2023,07:56:00,0,0,0,230.5299988,230.4874992,230.5675011
06-07-2023,08:00:00,0,0,0,230.7900009,230.7524948,230.8274994
06-07-2023,08:04:00,0,0,0,229.7124977,229.6725045,229.7449989
06-07-2023,08:08:00,0,0,0,228.6474991,228.6100006,228.6825027
06-07-2023,08:12:00,0,0,0,228.7000008,228.6600037,228.7324982
06-07-2023,08:16:00,0,0,0,228.0233307,227.9833323,228.0533345
06-07-2023,08:20:00,0,0,0,226.9449997,226.9074974,226.9800034
06-07-2023,08:24:00,0,0,0,227.9449997,227.902504,227.9799996
06-07-2023,08:28:00,0,0,0,228.625,228.579998,228.6574974
06-07-2023,08:32:00,0,0,0,227.4350014,227.3950005,227.4700012
06-07-2023,08:36:00,0,0,0,227.9899979,227.949997,228.0250015
06-07-2023,08:40:00,0,0,0,227.25,227.2133331,227.2866669
06-07-2023,08:44:00,0,0,0,226.6600037,226.625,226.6999969
06-07-2023,08:48:00,0,0,0,225.0699997,225.0299988,225.1100006
06-07-2023,08:52:00,0,0,0,222.6949997,222.6575012,222.7324982
06-07-2023,08:56:00,0,0,0,224.204998,224.1650009,224.2399979
06-07-2023,09:00:00,0,0,0,234.5400009,234.4974938,234.5774955
06-07-2023,09:04:00,0,0,0,233.9650001,233.9274979,234.0074997
06-07-2023,09:08:00,0,0,0,235.7299957,235.6833394,235.7700043
06-07-2023,09:12:00,0,0,0,233.9175034,233.8774986,233.9575005
06-07-2023,09:16:00,0,0,0,232.5074997,232.4700012,232.5475006
06-07-2023,09:20:00,0,0,0,234.3450012,234.3050003,234.3850022
06-07-2023,09:24:00,0,0,0,241.7000046,241.6599999,241.7449989
06-07-2023,09:28:00,0,0,0,242.9225006,242.8774987,242.9650002
06-07-2023,09:32:00,0,0,0,240.9033305,240.8666636,240.950002
06-07-2023,09:36:00,0,0,0,238.7975006,238.7624932,238.8424988
06-07-2023,09:40:00,0,0,0,237.4599991,237.4225006,237.5074997
06-07-2023,09:44:00,0,0,0,236.6450005,236.6049995,236.6875038
06-07-2023,09:48:00,0,0,0,237.2849961,237.2475014,237.3275032
06-07-2023,09:52:00,0,0,0,236.4050026,236.3649979,236.4449997
06-07-2023,09:56:00,0,0,0,237.0566661,237.0166677,237.0999959
06-07-2023,10:00:00,0,0,0,236.1699982,236.1324997,236.2125015
06-07-2023,10:04:00,0,0,0,235.7749977,235.7350006,235.8175011
06-07-2023,10:08:00,0,0,0,236.0250015,235.9874992,236.0675011
06-07-2023,10:12:00,0,0,0,235.8375015,235.7974968,235.8774986
06-07-2023,10:16:00,0,0,0,236.5574989,236.5125008,236.5975037
06-07-2023,10:20:00,0,0,0,237.3733368,237.3333283,237.4133301
06-07-2023,10:24:00,0,0,0,237.0250015,236.9749985,237.0600014
06-07-2023,10:28:00,0,0,0,236.9350014,236.892498,236.9749985
06-07-2023,10:32:00,0,0,0,238.4049988,238.3674965,238.4524994
06-07-2023,10:36:00,0,0,0,239.517498,239.4799995,239.5649986
06-07-2023,10:40:00,0,0,0,238.963328,238.9233348,239.0066681
06-07-2023,10:44:00,0,0,0,239.517498,239.4775009,239.5650024
06-07-2023,10:48:00,0,0,0,243.0175019,242.9774971,243.0650024
06-07-2023,10:52:00,0,0,0,243.4174996,243.3774986,243.465004
06-07-2023,10:56:00,0,0,0,243.7874985,243.7500038,243.8350029
06-07-2023,11:00:00,0,0,0,243.232502,243.1925011,243.2775001
06-07-2023,11:04:00,0,0,0,243.5424957,243.5025024,243.5850029
06-07-2023,11:08:00,0,0,0,243.4033305,243.3633372,243.4466654
06-07-2023,11:12:00,0,0,0,244.4399986,244.4025039,244.4850006
06-07-2023,11:16:00,0,0,0,238.1299973,238.0900001,238.170002
06-07-2023,11:20:00,0,0,0,230.9125023,230.8725014,230.9524994
06-07-2023,11:24:00,0,0,0,229.9650002,229.9300003,229.9999962
06-07-2023,11:28:00,0,0,0,230.7400017,230.7000008,230.7799988
06-07-2023,11:32:00,0,0,0,230.4749985,230.4400024,230.517498
06-07-2023,11:36:00,0,0,0,231.4699961,231.4299978,231.5099996
06-07-2023,11:40:00,0,0,0,230.1074982,230.0724983,230.1475029
06-07-2023,11:44:00,0,0,0,230.6724968,230.6324997,230.7125015
06-07-2023,11:48:00,0,0,0,231.4700012,231.4324989,231.5124969
06-07-2023,11:52:00,0,0,0,230.4724998,230.4324989,230.5100022
06-07-2023,11:56:00,0,0,0,231.142498,231.0999985,231.1800003
06-07-2023,12:00:00,0,0,0,230.7400055,230.699997,230.7700043
06-07-2023,12:04:00,0,0,0,232.6200028,232.579998,232.6575012
06-07-2023,12:08:00,0,0,0,231.9625015,231.9150009,231.9925003
06-07-2023,12:12:00,0,0,0,232.4050026,232.3624992,232.4400025
06-07-2023,12:16:00,0,0,0,232.6725006,232.6324997,232.7099953
06-07-2023,12:20:00,0,0,0,232.7224999,232.6800003,232.7599983
06-07-2023,12:24:00,0,0,0,231.7466685,231.7033335,231.7799988
06-07-2023,12:28:00,0,0,0,234.0649986,234.0225029,234.1025009
06-07-2023,12:32:00,0,0,0,234.3300019,234.2849998,234.3649979
06-07-2023,12:36:00,0,0,0,235.0850029,235.0424957,235.1224976
06-07-2023,12:40:00,0,0,0,233.5299988,233.4875031,233.5675011
06-07-2023,12:44:00,0,0,0,234.2649994,234.2250023,234.3050003
06-07-2023,12:48:00,0,0,0,234.7666677,234.7266642,234.8099976
06-07-2023,12:52:00,0,0,0,233.8024979,233.7625008,233.8449974
06-07-2023,12:56:00,0,0,0,235.1666667,235.1200002,235.2033335
06-07-2023,13:00:00,0,0,0,234.9674988,234.9250031,235.0075035
06-07-2023,13:04:00,0,0,0,236.25,236.206665,236.2866618